Date/Time,Energy Produced (Wh)
06/25/2023,59533
06/26/2023,44256
06/27/2023,33578
06/28/2023,62644
06/29/2023,78343
06/30/2023,73783
07/01/2023,46596
07/02/2023,51449
07/03/2023,78389
07/04/2023,72754
07/05/2023,93932
07/06/2023,56157
07/07/2023,49488
07/08/2023,79149
07/09/2023,12000
07/10/2023,70713
07/11/2023,90828
07/12/2023,79564
07/13/2023,80234
07/14/2023,68926
07/15/2023,68391
07/16/2023,35258
07/17/2023,72791
07/18/2023,78819
07/19/2023,51804
07/20/2023,78512
07/21/2023,72754
07/22/2023,95787
07/23/2023,88630
07/24/2023,65267
07/25/2023,56258
07/26/2023,86620
07/27/2023,68624
07/28/2023,84590
07/29/2023,66895
07/30/2023,90357
07/31/2023,80646
08/01/2023,86770
08/02/2023,83236
08/03/2023,59569
08/04/2023,37628
08/05/2023,65831
08/06/2023,71644
08/07/2023,29269
08/08/2023,54963
08/09/2023,79796
08/10/2023,21965
08/11/2023,85227
08/12/2023,70686
08/13/2023,82907
08/14/2023,44579
08/15/2023,51598
08/16/2023,65738
08/17/2023,62420
08/18/2023,77216
08/19/2023,86909
08/20/2023,79169
08/21/2023,61371
08/22/2023,82996
08/23/2023,56484
08/24/2023,9917
08/25/2023,40754
08/26/2023,60767
08/27/2023,77346
08/28/2023,34786
08/29/2023,36573
08/30/2023,70375
08/31/2023,82003
09/01/2023,81127
09/02/2023,79051
09/03/2023,73460
09/04/2023,70303
09/05/2023,65123
09/06/2023,66952
09/07/2023,37343
09/08/2023,65651
09/09/2023,53224
09/10/2023,27303
09/11/2023,47781
09/12/2023,67464
09/13/2023,54764
09/14/2023,75767
